USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001406700	1683727	0	0.65	0.	37.8033164	-122.2022249                                                                                                                                                
CA	06001406800	912527	0	0.352	0.	37.7978944	-122.1949575                                                                                                                                                
CA	06001406900	873127	0	0.337	0.	37.7932754	-122.1903789                                                                                                                                                
CA	06001407000	862936	0	0.333	0.	37.7879458	-122.2024901                                                                                                                                                
CA	06001407101	370826	0	0.143	0.	37.7831286	-122.2143965                                                                                                                                                
CA	06001407102	660864	0	0.255	0.	37.7807761	-122.2102384                                                                                                                                                
CA	06001407200	715073	0	0.276	0.	37.7777848	-122.2192819                                                                                                                                                
CA	06001407300	2370917	209253	0.915	0.081	37.7621786	-122.2109235                                                                                                                                       
CA	06001407400	511491	0	0.197	0.	37.7710407	-122.2067479                                                                                                                                                
CA	06001407500	494502	0	0.191	0.	37.769515	-122.1976093                                                                                                                                                 
CA	06001407600	1022710	0	0.395	0.	37.7775293	-122.2031992                                                                                                                                               
CA	06001407700	914283	0	0.353	0.	37.7765251	-122.1932278                                                                                                                                                
CA	06001407800	1221764	0	0.472	0.	37.7817468	-122.1868539                                                                                                                                               
CA	06001407900	1099098	0	0.424	0.	37.7884273	-122.1847831                                                                                                                                               
CA	06001408000	1955276	0	0.755	0.	37.8029603	-122.1828718                                                                                                                                               
CA	06001408100	8937288	0	3.451	0.	37.7854008	-122.1572103                                                                                                                                               
CA	06001408200	901140	0	0.348	0.	37.775104	-122.1755739                                                                                                                                                 
CA	06001408300	1538489	0	0.594	0.	37.7711951	-122.1646018                                                                                                                                               
CA	06001408400	542834	0	0.21	0.	37.7646042	-122.1709592                                                                                                                                                 
CA	06001408500	831360	0	0.321	0.	37.7604176	-122.1785112                                                                                                                                                
CA	06001408600	1059985	0	0.409	0.	37.7661938	-122.1822982                                                                                                                                               
CA	06001408700	1133375	0	0.438	0.	37.7688645	-122.1889326                                                                                                                                               
CA	06001408800	1179466	0	0.455	0.	37.758918	-122.1969979                                                                                                                                                
CA	06001408900	827293	0	0.319	0.	37.7541581	-122.1889463                                                                                                                                                
CA	06001409000	16913369	4389421	6.53	1.695	37.7299594	-122.2164979                                                                                                                                      
CA	06001409100	490550	0	0.189	0.	37.7323419	-122.1834828                                                                                                                                                
CA	06001409200	706471	0	0.273	0.	37.7291306	-122.1778427                                                                                                                                                
CA	06001409300	1076042	0	0.415	0.	37.7378474	-122.1733603                                                                                                                                               
CA	06001409400	1253618	0	0.484	0.	37.744613	-122.1803623                                                                                                                                                
CA	06001409500	836611	0	0.323	0.	37.7504463	-122.1837659                                                                                                                                                
CA	06001409600	747478	0	0.289	0.	37.7532669	-122.1726197                                                                                                                                                
CA	06001409700	810928	0	0.313	0.	37.7564185	-122.1658933                                                                                                                                                
CA	06001409800	1790048	0	0.691	0.	37.7603601	-122.1557634                                                                                                                                               
CA	06001409900	4315219	0	1.666	0.	37.7620318	-122.1358942                                                                                                                                               
CA	06001410000	6550967	145283	2.529	0.056	37.744794	-122.1335017                                                                                                                                        
CA	06001410100	808994	0	0.312	0.	37.7477424	-122.1533513                                                                                                                                                
CA	06001410200	585837	0	0.226	0.	37.7453063	-122.1571742                                                                                                                                                
CA	06001410300	578329	0	0.223	0.	37.7466798	-122.1661407                                                                                                                                                
CA	06001410400	706611	0	0.273	0.	37.7408161	-122.1621741                                                                                                                                                
CA	06001410500	716693	0	0.277	0.	37.8100772	-122.2889321                                                                                                                                                
CA	06001420100	562477	0	0.217	0.	37.8946938	-122.2909385                                                                                                                                                
CA	06001420200	449142	0	0.173	0.	37.8944075	-122.2974489                                                                                                                                                
CA	06001420301	415655	0	0.16	0.	37.8947347	-122.3047951                                                                                                                                                 
CA	06001420302	870122	1109281	0.336	0.428	37.8906499	-122.3181164                                                                                                                                       
CA	06001420401	200056	0	0.077	0.	37.8848762	-122.2997917                                                                                                                                                
CA	06001420402	920050	1632801	0.355	0.63	37.886211	-122.3141636                                                                                                                                         
CA	06001420500	420968	0	0.163	0.	37.8866878	-122.2949826                                                                                                                                                
CA	06001420600	797566	0	0.308	0.	37.8869937	-122.2870443                                                                                                                                                
CA	06001421100	745511	0	0.288	0.	37.899434	-122.2661928                                                                                                                                                 
CA	06001421200	1314935	2266	0.508	0.001	37.8963668	-122.2746996                                                                                                                                         
CA	06001421300	1084032	0	0.419	0.	37.8910377	-122.2812606                                                                                                                                               
CA	06001421400	474778	0	0.183	0.	37.8883409	-122.270922                                                                                                                                                 
CA	06001421500	1580941	0	0.61	0.	37.8917124	-122.2594986                                                                                                                                                
CA	06001421600	1324489	0	0.511	0.	37.8839086	-122.2560313                                                                                                                                               
CA	06001421700	573819	0	0.222	0.	37.8819398	-122.2701842                                                                                                                                                
